date,year,month,day,voltage,arus,power,energy,frequency,powerfactor
22/02/2021,2021,2,22,208.1,0.03,0.9,0.74,49.9,0.14
22/02/2021,2021,2,22,206.4,0.03,0.8,0.74,50,0.13
22/02/2021,2021,2,22,200.2,0.15,26,0.75,49.9,0.87
22/02/2021,2021,2,22,202.8,0.15,25.6,0.75,50,0.85
22/02/2021,2021,2,22,202.3,0.15,25.4,0.76,49.9,0.85
22/02/2021,2021,2,22,199.1,0.15,24.6,0.77,49.9,0.85
22/02/2021,2021,2,22,203.4,0.15,25.6,0.77,50,0.85
22/02/2021,2021,2,22,202.6,0.15,25.3,0.78,49.9,0.85
22/02/2021,2021,2,22,201,0.15,24.9,0.79,50,0.85
22/02/2021,2021,2,22,201.3,0.15,25,0.79,50.1,0.84
22/02/2021,2021,2,22,204.9,0.15,25.9,0.8,50.1,0.85
22/02/2021,2021,2,22,203,0.15,25.4,0.8,50,0.85
22/02/2021,2021,2,22,202,0.15,25.2,0.81,49.9,0.85
22/02/2021,2021,2,22,204,0.15,25.6,0.82,50,0.85
22/02/2021,2021,2,22,203.1,0.15,25.4,0.82,49.9,0.85
22/02/2021,2021,2,22,205,0.15,25.8,0.83,50,0.85
22/02/2021,2021,2,22,203.8,0.15,25.6,0.84,49.8,0.85
22/02/2021,2021,2,22,207.3,0.15,26.3,0.84,49.9,0.85
22/02/2021,2021,2,22,204.7,0.15,25.7,0.85,50,0.85
22/02/2021,2021,2,22,204.6,0.15,25.7,0.85,49.9,0.85
22/02/2021,2021,2,22,202.1,0.15,25.1,0.86,50,0.84
22/02/2021,2021,2,22,205.9,0.15,26,0.87,50,0.85
22/02/2021,2021,2,22,205.1,0.15,25.9,0.88,50.1,0.85
22/02/2021,2021,2,22,203.5,0.15,25.5,0.88,49.8,0.85
22/02/2021,2021,2,22,207.5,0.15,26.3,0.89,50.2,0.84
22/02/2021,2021,2,22,209,0.15,26.7,0.93,49.9,0.85
22/02/2021,2021,2,22,205.3,0.15,25.9,0.94,50,0.85
22/02/2021,2021,2,22,203.5,0.15,25.5,0.94,49.9,0.85
22/02/2021,2021,2,22,203.6,0.15,25.5,0.95,49.9,0.85
22/02/2021,2021,2,22,204.2,0.15,25.7,0.96,50.1,0.84
22/02/2021,2021,2,22,198.4,0.17,33.2,0.96,50,0.97
22/02/2021,2021,2,22,197.5,0.17,33,0.97,50,0.98
22/02/2021,2021,2,22,198.4,0.17,33.3,0.98,50,0.98
22/02/2021,2021,2,22,196.1,0.17,32.6,0.99,50,0.98
22/02/2021,2021,2,22,197,0.17,32.9,1,49.9,0.98
22/02/2021,2021,2,22,200.2,0.17,33.8,1,50,0.98
22/02/2021,2021,2,22,199.9,0.17,33.7,1.01,50,0.97
22/02/2021,2021,2,22,198.8,0.17,33.4,1.02,49.9,0.98
22/02/2021,2021,2,22,199.7,0.17,33.7,1.03,50,0.98
22/02/2021,2021,2,22,198.4,0.17,33.3,1.04,49.8,0.98
22/02/2021,2021,2,22,196.1,0.17,32.6,1.05,50,0.98
22/02/2021,2021,2,22,192.4,0.17,31.5,1.05,50,0.97
22/02/2021,2021,2,22,191.8,0.17,31.3,1.06,49.9,0.98
22/02/2021,2021,2,22,191.3,0.17,31.2,1.07,50,0.98
22/02/2021,2021,2,22,194.1,0.17,32,1.08,50,0.98
22/02/2021,2021,2,22,196.3,0.17,32.7,1.09,49.9,0.98
